control,target,0
IRF4,IRF4,1.2638136251482766
IRF4,REL,-0.07025688464284845
IRF4,PAX5,-0.005516166159859224
IRF4,RELA,0.0012240061975834398
IRF4,PRDM1,0.16608278574605373
IRF4,AICDA,-0.018162785300900913
REL,IRF4,-0.07025688464284845
REL,REL,1.2565159656039062
REL,PAX5,0.07810398697787295
REL,RELA,0.014693655840126281
REL,PRDM1,-0.1292001405964189
REL,AICDA,0.08365825848898084
PAX5,IRF4,-0.005516166159859224
PAX5,REL,0.07810398697787295
PAX5,PAX5,1.2248865019375828
PAX5,RELA,0.04289486249898867
PAX5,PRDM1,-0.10141137405956749
PAX5,AICDA,0.06664712313563619
RELA,IRF4,0.0012240061975834398
RELA,REL,0.014693655840126281
RELA,PAX5,0.04289486249898867
RELA,RELA,1.184027431168502
RELA,PRDM1,-0.0043242226105256465
RELA,AICDA,-0.003171310137150144
PRDM1,IRF4,0.16608278574605373
PRDM1,REL,-0.1292001405964189
PRDM1,PAX5,-0.10141137405956749
PRDM1,RELA,-0.0043242226105256465
PRDM1,PRDM1,1.097573574831217
PRDM1,AICDA,-0.07822399483738493
AICDA,IRF4,-0.018162785300900913
AICDA,REL,0.08365825848898084
AICDA,PAX5,0.06664712313563619
AICDA,RELA,-0.003171310137150144
AICDA,PRDM1,-0.07822399483738493
AICDA,AICDA,0.9445903222971372
